folio,A_fecha,A_1_1,A_1_2,A_2_1_1,A_2_1_2,A_2_1_3,A_2_1_4,A_2_1_5,A_2_1_6,A_2_1_7,A_2_1_O,A_3_1,A_4_1_1,A_4_1_2,A_4_1_3,A_4_1_4,A_4_1_O,A_4_21,A_4_22,A_4_23,A_4_24,A_4_25,A_4_26,A_4_27,A_4_2_1,A_4_2_2,A_4_2_3,A_4_2_4,A_4_2_5,A_4_2_O,A_4_2_6,A_4_3,A_4_3_O,A_4_4,A_4_4_O,A_4_5,A_4_6,A_4_7_1,A_4_7_2,A_4_7_3,A_4_7_4,A_4_7_5,A_4_7_O,A_5_1,A_5_2,A_5_3,A_5_4,A_5_5,A_5_6,A_5_7,A_5_8,A_5_9,A_6_1,A_6_2,A_6_3,A_6_4,A_7_1,A_7_1_O,A_7_2_1,A_7_2_2,A_7_2_3,A_7_2_4,A_7_2_5,A_7_2_6,A_7_2_7,A_7_2_8,A_7_2_9,A_7_2_O,A_7_3,A_7_3_O,A_8_1,A_8_2,A_9_1,A_9_2,A_9_3,A_9_4,A_10_1_1,A_10_1_2,A_10_1_3,A_10_2_1,A_10_2_2,A_10_2_3,A_10_2_4,A_10_2_5,A_10_2_6,A_10_2_7,A_10_2_8
0054-2015,19-Apr,2016,4-Jun,1983,Preparatoria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no se permite demandar sin un abogado,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,Sí sabe,65000,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,100,30000,40000,35000,2.1666667,3.1666667,2.1666667,65000,Nada bien,Muy común,Mucho,65000,Sí Sabe,90,Indemnización Constitucional,,,,,,,,,,No,,Totalmente de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 EN UN MES",,,,,
1599-2015,14-Apr,2016,29-Mar,1990,Preparatoria,Indemnización por despido injustificado,Pago de finiquito,,,,,,,51 a 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,10,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,90,40,35000,45000,35000,1.9166666,2,1.9166666,35000,Medianamente bien,Medianamente común,Medianamente,35000,No Sabe,,No Sabe,,,,,,,,,,No,,Algo de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0238-2016,15-Apr,2016,10-Oct,1981,Más que preparatoria,Indemnización por despido injustificado,Pago de finiquito,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Un solo pago SOLO si gano el juicio,,,,,,,,,,,5000,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,30,10000,15000,10000,4.9166665,10.916667,4.9166665,40000,Medianamente bien,Medianamente común,Medianamente,60000,No Sabe,,No Sabe,,,,,,,,,,No,,Poco de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
1320-2015,29-Mar,2016,29-Aug,1961,Secundaria,Indemnización por despido injustificado,Pago de prestaciones,Pago de finiquito,,,,,,1 a 10 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,100,0,0,0,1.9166666,2.9166667,2.5,350000,Nada bien,Muy común,Nada,350000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Aguinaldo,,,,,,,,No,,Totalmente de acuerdo,Mucho,No,No,,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1544-2014,11-Apr,2016,4-Mar,1970,Más que preparatoria,Indemnización por despido injustificado,Pago de prestaciones,Pago de finiquito,,,,,,Más de 100 empleados,Porque no tengo tiempo para atender mi demanda,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,15,,,,,,No sabe,,Es un familiar o amigo,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,75,25,9999,9999,9999,2.5,3,2.6666667,100000,Muy bien,Muy común,Poco,300000,No Sabe,,Indemnización Constitucional,Prima por trabajar los sábados,Aguinaldo,,,,,,,,No,,Poco de acuerdo,Medianamente,Sí,No,,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0321-2013,27-Apr,2016,14-Feb,1992,Preparatoria,Indemnización por despido injustificado,Reinstalación en mi trabajo,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,20,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,50,90000,90000,90000,3.5,3.9166667,3.9166667,90000,No tan bien,Muy común,Medianamente,110000,No Sabe,,Indemnización Constitucional,Reinstalación,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,Servicio de guardería,,,,,No,,Algo de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1640-2015,25-Apr,2016,28-May,1973,Preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,80,20,9999,9999,9999,99.75,999.75,99.75,9999,Nada bien,Medianamente común,Mucho,9999,No Sabe,,Indemnización Constitucional,Seguro de gastos médicos mayores,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,No,,Totalmente de acuerdo,Mucho,No,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1387-2009,25-Apr,2016,20-May,1958,Preparatoria,Indemnización por despido injustificado,,,,,,,,51 a 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,100,500000,1000000,500000,11,13,12,400000,Nada bien,Muy común,Mucho,500000,Sí Sabe,90,Indemnización Constitucional,Aguinaldo,Otro,,,,,,,Mi pago del fondo de contingencia y el pago de comisiones,Sí,1,Poco de acuerdo,Medianamente,Sí,No,,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0127-2015,12-May,2016,13-Jun,1970,Preparatoria,Indemnización por despido injustificado,,,,,,,,51 a 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,Sí sabe,270000,Me lo recomendaron en la Junta,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,Sí,El abogado decidió dejar el caso,,,,,,90,100,20000,40000,20000,4.8333335,5.9166665,4.9166665,200000,Medianamente bien,Medianamente común,Mucho,200000,Sí Sabe,90,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Algo de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1885-2011,18-May,2016,7-Dec,1958,Más que preparatoria,Reinstalación en mi trabajo,Pago de prestaciones,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,20,,,,,,Sí sabe,1500000,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,70,40,2500000,4000000,3000000,6,7,6.5,3500000,Nada bien,Muy común,Mucho,10000000,Sí Sabe,90,Reinstalación,Aguinaldo,,,,,,,,,No,,Totalmente de acuerdo,Mucho,Sí,Sí,30,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0445-2014,18-Apr,2016,27-Sep,1958,Secundaria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,40,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,70,25,10000,20000,15000,3,3.5,3,10000,No tan bien,Muy común,Poco,10000,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Poco de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$20,000 EN UN MES",,
1283-2011,19-Apr,2016,29-Jul,1980,Preparatoria,Indemnización por despido injustificado,,,,,,,,51 a 100 empleados,Porque no se permite demandar sin un abogado,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,65,,,,,,No sabe,,Otra,Yo lo busque,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,80,30,40000,55000,55000,1.25,2.25,2.1666667,45000,No tan bien,Muy común,Mucho,50000,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Nada de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0091-2010,21-Apr,2016,18-Aug,1951,Primaria,Indemnización por despido injustificado,,,,,,,,No Sabe ,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,"Mi abogado decidiría si aceptar o no la oferta, sin consultarme",No,,,,,,,100,0,0,0,0,2,6,5,0,Medianamente bien,Muy común,Medianamente,0,No Sabe,,Indemnización Constitucional,,,,,,,,,,Sí,1,Nada de acuerdo,Nada,No,No,,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0261-2015,30-Mar,2016,24-Jan,1962,Secundaria,Indemnización por despido injustificado,,,,,,,,1 a 10 empleados,Otra,,,,,Un solo pago SOLO si gano el juicio,,,,,,,,,,,45000,,,No sabe,,Me lo recomendaron en la Junta,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,90,0,0,0,0,1.5,2,1.8333334,0,Nada bien,Nada común,Mucho,0,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Nada de acuerdo,Mucho,Sí,No,,Nada de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
1742-2015,25-Apr,2016,28-Dec,1987,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,1 a 10 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,50,7500,12000,7500,2.5,3,3,8000,Medianamente bien,Muy común,Mucho,8000,Sí Sabe,90,Indemnización Constitucional,,,,,,,,,,No,,Poco de acuerdo,Medianamente,No,Sí,100,Poco de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
2045-2013,11-Apr,2016,12-Dec,1978,Más que preparatoria,Pago de prestaciones,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,37,,,,,,No sabe,,Me lo recomendaron en la Junta,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",Sí,El desempeño de mi abogado era deficiente,,,,,,90,20,100000,100000,100000,1.9166666,5.9166665,5.9166665,100000,No tan bien,Muy común,Medianamente,1640000,No Sabe,,Seguro de gastos médicos mayores,Otro,,,,,,,,Maternidad,No,,Poco de acuerdo,Medianamente,No,No,,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1019-2014,25-May,2016,2-Jun,1992,Primaria,Indemnización por despido injustificado,,,,,,,,1 a 10 empleados,Porque no se permite demandar sin un abogado,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,70,100,15000,25000,15000,1.5,1.5833334,1.5,30000,Nada bien,Muy común,Mucho,50000,No Sabe,,No Sabe,,,,,,,,,,No,,Poco de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$30,000 EN UN MES",
1430-2013,21-Apr,2016,2-Aug,1974,Más que preparatoria,Reinstalación en mi trabajo,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,Sí sabe,100000,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,90,95,100000,100000,100000,1.5,1.8333334,1.5,100000,No tan bien,Medianamente común,Nada,150000,Sí Sabe,12,Reinstalación,,,,,,,,,,No,,Algo de acuerdo,Mucho,Sí,No,,Nada de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1334-2012,23-May,2016,29-Aug,1963,Preparatoria,Indemnización por despido injustificado,,,,,,,,51 a 100 empleados,Porque no se permite demandar sin un abogado,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,20,,,,,,Sí sabe,30000,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,90,70,100,130,130,1,1.5,1,130,Medianamente bien,Poco común,Nada,130,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Algo de acuerdo,Mucho,Sí,No,,Poco de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
0480-2015,5-Apr,2016,8-Aug,1956,Más que preparatoria,Indemnización por despido injustificado,Reinstalación en mi trabajo,Pago de prestaciones,,,,,,Más de 100 empleados,Porque no se permite demandar sin un abogado,,,,,Ningun pago,,,,,,,,,,,,,,Sí sabe,400000,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,0,70,200000,432000,250000,0.58333331,1,0.75,0,Medianamente bien,Nada común,Mucho,432000,No Sabe,,Indemnización Constitucional,Reinstalación,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,No,,Algo de acuerdo,Mucho,No,No,,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1565-2015,29-Mar,2016,23-Aug,1964,Secundaria,Indemnización por despido injustificado,,,,,,,,51 a 100 empleados,Otra,,,,,Ningun pago,,,,,,,,,,,,,,Sí sabe,25000,Otra,Solo pidiÃ³ asesorÃ­a,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,50,100,3000,15000,7000,1,1.1666666,1.0833334,15000,Muy bien,Nada común,Poco,25000,No Sabe,,Indemnización Constitucional,Aguinaldo,,,,,,,,,No,,Algo de acuerdo,Nada,Sí,No,,Algo de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 EN UN MES",,,,,
0237-2016,15-Apr,2016,7-Mar,1989,Más que preparatoria,Indemnización por despido injustificado,Reinstalación en mi trabajo,Pago de prestaciones,Pago de finiquito,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,90,10,30000,60000,35000,2.9166667,3.9166667,3.9166667,40000,No tan bien,Muy común,Mucho,40000,No Sabe,,Indemnización Constitucional,Reinstalación,Horas extraordinarias,Prima por trabajar los sábados,,,,,,,No,,Poco de acuerdo,Mucho,No,Sí,50,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
0216-2016,15-Apr,2016,4-Jul,1974,Primaria,Pago de finiquito,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,10,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,15,50,100,50,1.1666666,1.25,1.25,60000,Medianamente bien,Medianamente común,Mucho,60000,No Sabe,,No Sabe,,,,,,,,,,No,,Algo de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0369-2016,13-May,2016,30-May,1981,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,80,80,70000,90000,80000,0.5,1.5,1.25,70000,Nada bien,Medianamente común,Medianamente,90000,Sí Sabe,90000,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,Otro,,,,,Antiguedad,No,,Poco de acuerdo,Medianamente,No,Sí,50,Algo de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0947-2015,28-Mar,2016,9-Jul,1983,Secundaria,Indemnización por despido injustificado,Pago de prestaciones,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,Porque no tengo tiempo para atender mi demanda,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Otra,Buscando en anuncios,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,100,50,60000,120000,60000,3.9166667,5.9166665,3.9166667,30000,No tan bien,Muy común,Mucho,60000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Poco de acuerdo,Mucho,No,Sí,100,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1648-2015,21-Apr,2016,19-Sep,1982,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,40,,,,,,No sabe,,Me lo recomendaron en la Junta,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,50,15000,30000,15000,1.9166666,2.9166667,2.9166667,15000,No tan bien,Muy común,Medianamente,30000,Sí Sabe,90,Indemnización Constitucional,Horas extraordinarias,Aguinaldo,,,,,,,,No,,Nada de acuerdo,Medianamente,No,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
0226-2016,15-Apr,2016,10-Apr,1963,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,1 a 10 empleados,Porque no se permite demandar sin un abogado,,,,,Ningun pago,,,,,,,,,,,,,,Sí sabe,80000,Es un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,100,60000,200000,80000,1.6666666,2.9166667,1.9166666,80000,Muy bien,Nada común,Nada,80000,Sí Sabe,90,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,Otro,,,,,Pago de salario no pagado,No,,Totalmente de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0321-2016,29-Apr,2016,28-Oct,1961,Secundaria,Reinstalación en mi trabajo,,,,,,,,1 a 10 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo recomendaron en la Junta,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,0,0,0,0,0,0.16666667,0.25,0.16666667,0,Muy bien,Nada común,Nada,0,No Sabe,,Reinstalación,,,,,,,,,,Sí,1,Totalmente de acuerdo,Medianamente,No,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0871-2015,21-Apr,2016,30-Oct,1991,Secundaria,Pago de finiquito,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,20,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,0,20000,22000,21000,2,3.75,2,20000,Medianamente bien,Muy común,Mucho,22000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Poco de acuerdo,Mucho,No,Sí,80,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0407-2014,21-Apr,2016,21-Dec,1985,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Otra,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Es un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,Sí,El desempeño de mi abogado era deficiente,,,,,,100,70,5000,10000,8000,2.8333333,5.75,4.0833335,85000,Nada bien,Nada común,Poco,85000,No Sabe,,Indemnización Constitucional,Seguro de gastos médicos mayores,Horas extraordinarias,Aguinaldo,Otro,,,,,Sueldos caÃ­dos horas extras  utilidades generadas por la empresa,No,,Totalmente de acuerdo,Mucho,No,Sí,15,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1194-2014,28-Apr,2016,14-Mar,1987,Preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,25,,,,,,No sabe,,Ya había trabajado con él antes,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,90,60,50000,60000,50000,3,4,4,50000,Nada bien,Muy común,Mucho,50000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Aguinaldo,,,,,,,,No,,Algo de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0059-2016,18-Mar,2016,13-Aug,1965,Primaria,Reinstalación en mi trabajo,,,,,,,,1 a 10 empleados,Porque no tengo tiempo para atender mi demanda,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Otra,La encontrÃ© en la junta sin recomendacion,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,60,50,1500,3000,2000,1,3,2,2000,No tan bien,Medianamente común,Poco,5000,No Sabe,,Indemnización Constitucional,,,,,,,,,,Sí,1,Poco de acuerdo,Poco ,Sí,Sí,70,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
